,Age,Unnamed: 1,Primary streaming service,Hours per day,While working,Fav genre,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects
28,14,Children,Apple Music,1,Yes,Pop,No,Rarely,Never,Never,Rarely,Never,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,0,0,0,0,Improve
29,15,Children,Apple Music,5,Yes,Rock,Yes,Never,Rarely,Rarely,Very frequently,Never,Very frequently,Sometimes,Never,Sometimes,Sometimes,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,0,0,0,0,Improve
30,15,Children,Spotify,2,Yes,Classical,No,Very frequently,Never,Never,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Very frequently,0,0,0,0,No effect
31,15,Children,Spotify,6,Yes,Metal,Yes,Never,Never,Never,Rarely,Never,Rarely,Sometimes,Rarely,Never,Sometimes,Very frequently,Sometimes,Never,Never,Sometimes,Sometimes,0,0,0,0,Improve
32,15,Children,Spotify,4,No,Rock,Yes,Rarely,Rarely,Rarely,Very frequently,Never,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Very frequently,Rarely,Sometimes,Very frequently,Rarely,0,0,0,0,Improve
33,15,Children,Spotify,1,Yes,Classical,No,Very frequently,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,0,0,0,0,No effect
34,15,Children,Spotify,5,Yes,Pop,No,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very frequently,Sometimes,Sometimes,Rarely,Never,0,0,0,0,Improve
35,15,Children,Spotify,4,Yes,Pop,Yes,Never,Never,Rarely,Never,Never,Sometimes,Never,Rarely,Rarely,Never,Never,Very frequently,Never,Rarely,Never,Never,1,0,0,0,Improve
36,15,Children,Other streaming service,3,Yes,Pop,No,Never,Never,Sometimes,Never,Never,Very frequently,Rarely,Sometimes,Never,Never,Rarely,Very frequently,Sometimes,Very frequently,Very frequently,Never,1,0,0,0,No effect
37,15,Children,Other streaming service,0.5,No,Rock,Yes,Rarely,Never,Rarely,Sometimes,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Very frequently,Never,1,0,0,0,No effect
38,15,Children,Spotify,4,Yes,EDM,No,Rarely,Rarely,Very frequently,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Sometimes,Rarely,Very frequently,Very frequently,Sometimes,Very frequently,Rarely,1,0,0,0,Improve
39,15,Children,YouTube Music,2,Yes,Video game music,No,Sometimes,Rarely,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Very frequently,1,0,0,0,Improve
40,15,Children,Spotify,5,Yes,Rock,No,Very frequently,Never,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Sometimes,Very frequently,Sometimes,Rarely,Sometimes,Very frequently,Sometimes,1,0,0,0,Improve
41,15,Children,YouTube Music,0.25,No,Video game music,No,Very frequently,Rarely,Never,Rarely,Never,Rarely,Sometimes,Never,Rarely,Never,Never,Very frequently,Sometimes,Never,Sometimes,Sometimes,1,0,0,0,No effect
42,15,Children,Spotify,3,Yes,Classical,Yes,Very frequently,Never,Very frequently,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Never,Sometimes,Very frequently,Very frequently,Rarely,Sometimes,1,0,0,0,Improve
43,15,Children,Spotify,4,Yes,Metal,Yes,Rarely,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Never,Very frequently,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,1,0,0,0,No effect
44,15,Children,I do not use a streaming service.,1,Yes,Folk,No,Never,Sometimes,Rarely,Very frequently,Never,Rarely,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,1,0,0,0,Improve
45,15,Children,Spotify,1,No,Classical,No,Very frequently,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,Never,Sometimes,Never,1,0,0,0,No effect
46,15,Children,Spotify,3,Yes,Rock,Yes,Rarely,Never,Rarely,Sometimes,Never,Never,Never,Rarely,Never,Very frequently,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,1,0,0,0,Improve
47,15,Children,Spotify,5,Yes,Metal,Yes,Never,Never,Rarely,Rarely,Never,Very frequently,Rarely,Never,Rarely,Rarely,Very frequently,Sometimes,Rarely,Very frequently,Very frequently,Never,1,0,0,0,Improve
48,15,Children,Spotify,3,Yes,Pop,Yes,Sometimes,Rarely,Sometimes,Never,Never,Very frequently,Sometimes,Rarely,Never,Sometimes,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Sometimes,1,0,0,0,No effect
49,15,Children,Apple Music,2,Yes,EDM,No,Never,Rarely,Very frequently,Never,Never,Rarely,Never,Never,Rarely,Rarely,Very frequently,Sometimes,Sometimes,Sometimes,Very frequently,Rarely,1,0,0,0,Improve
50,16,Children,Spotify,6,Yes,K pop,Yes,Rarely,Never,Never,Rarely,Sometimes,Very frequently,Rarely,Very frequently,Very frequently,Very frequently,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,1,0,0,0,Improve
51,16,Children,Apple Music,1,No,Rap,Yes,Sometimes,Rarely,Sometimes,Rarely,Never,Very frequently,Very frequently,Never,Never,Never,Sometimes,Rarely,Rarely,Very frequently,Very frequently,Rarely,1,0,0,0,No effect
52,16,Children,Spotify,12,Yes,Pop,Yes,Very frequently,Rarely,Never,Very frequently,Never,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Very frequently,Sometimes,Rarely,Rarely,Never,1,0,0,0,No effect
